기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.01.30.,"우리은행, 무역금융 비대면 이관 서비스 실시",https://n.news.naver.com/mnews/article/003/0011664630?sid=101,"[서울=뉴시스]이주혜 기자 = 우리은행은 고객이 인터넷뱅킹에서 무역금융 수출실적을 이관 신청할 수 있는 '무역금융 수출실적 비대면 이관 서비스'를 시행한다고 30일 밝혔다.무역금융 수출실적을 다른 은행으로 이관 신청할 경우 기존에는 영업점을 직접 방문해 수기 신청서를 작성하는 불편함이 있었다. 이번 서비스 시행으로 영업점 방문 없이 인터넷뱅킹에서 신청할 수 있게 됐다.지난해 3월 우리·국민·신한·하나 등 8개 은행은 무역금융 수출실적 이·수관 업무를 서류제출 방식에서 온라인 전문 방식으로 변경해 수관 은행 고객은 방문 없이 처리할 수 있도록 개선한 바 있다.무역금융 수출실적 비대면 이관 서비스는 우리은행에 무역금융 수출실적을 보유한 법인 및 개인사업자가 기업 인터넷뱅킹에서 이용할 수 있다.우리은행 관계자는 ""무역금융과 같이 번거로운 기업금융 업무를 기업고객의 편의성 증대를 위해 개선했다""며 ""앞으로도 사각지대에 있는 불편한 업무를 편리하게 이용할 수 있도록 지속적으로 개선해 나가겠다""고 말했다."
2023.01.31.,"우리은행, 349명 짐싸…작년 보다 66명↓",https://n.news.naver.com/mnews/article/011/0004150879?sid=101,"[서울경제] 올해 우리은행에서 349명이 짐을 싼다. 31일 금융권에 따르면 우리은행은 지난달 희망퇴직 신청을 받은 결과 작년(415명) 보다 66명 줄어든 349명이 은행을 떠난다. 우리은행은 올해 희망퇴직 대상을 1980년생까지 확대했지만, 희망퇴직 인원수는 오히려 지난해 보다 줄었다. 앞서 우리은행은 지난달 19일부터 27일까지 관리자·책임자·행원급에서 각 1974년·1977년·1980년 이전 출생자를 대상으로 희망퇴직 접수를 받았다. 1967년생의 경우 24개월 치, 나머지는 36개월 치 월평균 임금이 특별퇴직금으로 책정됐다. 자녀 1인당 최대 2800만 원의 학자금, 최대 3300만 원의 재취업 지원금, 건강검진권, 300만 원 상당의 여행상품권도 제공하기로 했다."
2023.01.30.,"우리은행, '비대면 무역금융 수출실적 이관 서비스' 개시",https://n.news.naver.com/mnews/article/421/0006601002?sid=101,"우리은행(서울=뉴스1) 서상혁 기자 = 우리은행은 고객이 인터넷뱅킹에서 무역금융 수출 실적을 이관할 수 있는 '무역금융 수출실적 비대면 이관 서비스'를 시행한다고 30일 밝혔다.무역금융 수출 실적을 다른 은행으로 이관 신청할 경우, 기존엔 영업점을 직접 방문해 수기로 신청해야 했다. 앞으로는 인터넷뱅킹에서 신청할 수 있게 된다. 지난해 3월 우리·국민·신한·하나 등 8개 은행은 무역금융 수출실적 이·수관 업무를 서류제출 방식에서 온라인 전문 방식으로 변경해 수관 은행 고객은 방문 없이 처리할 수 있도록 개선한 바 있다. 우리은행 관계자는 ""무역금융과 같이 번거로운 기업금융 업무를 기업고객의 편의성 증대를 위해 개선했으며, 앞으로도 사각지대에 있는 불편한 업무를 편리하게 이용할 수 있도록 지속적으로 개선해 나가겠다""고 말했다."
2023.01.31.,"하나·우리은행, 올해 희망퇴직으로 628명 짐 싼다(종합)",https://n.news.naver.com/mnews/article/001/0013729538?sid=101,"하나은행, 작년보다 41% 줄어든 279명…""임금피크 대상자 감소""우리은행 349명으로 16% 감소…""신청자 줄어든 영향""농협은행은 지난달 말 493명 회사 떠나우리은행[우리은행 제공. 재판매 및 DB 금지](서울=연합뉴스) 박대한 민선희 기자 = 하나은행과 우리은행의 올해 희망퇴직 규모가 지난해보다 줄어든 628명으로 집계됐다.    31일 금융권에 따르면 하나은행에서는 이날 준정년 대상자 271명, 임금피크 대상자 8명, 모두 279명이 함께 퇴직했다.    지난해 상반기 478명(준정년 250명·임금피크 228명)보다 199명(41.6%) 줄었다.    2021년 상반기에는 511명(준정년 285명·임금피크 266명), 2020년 상반기에는 369명(준정년 92명, 임금피크 277명)이었다.    하나은행 관계자는 ""준정년 특별퇴직을 통해 임금피크 도래 이전 퇴직한 직원들이 많아, 이번에는 임금피크 대상자 자체가 크게 줄어든 상황이었다""고 설명했다.    하나은행은 지난 3일부터 9일까지 특별퇴직 신청을 받아 인사위원회 심의를 진행했다.    특별퇴직 대상은 만 15년 이상 근무하고, 만 40세 이상인 일반직원이다.    특별퇴직자는 직급, 연령에 따라 최대 24∼36개월치 평균임금을 받는다. 1968∼1970년생은 자녀 학자금, 의료비, 재취업·전직 지원금 등도 받게 된다.    우리은행은 이날 기준 349명의 직원이 퇴직해 회사를 떠났다.    올해 희망퇴직 규모는 지난해 415명 대비 66명(16%) 감소한 것으로 2020년(326명) 이후 가장 적다.    우리은행에서는 2019년 409명, 2020년 326명, 2021년 468명, 지난해 415명이 희망퇴직으로 회사를 떠났다.    우리은행 관계자는 ""조건은 지난해와 같았지만, 희망퇴직을 신청한 직원 수 자체가 전년보다 줄면서 퇴직 확정 인원도 감소했다""고 전했다.    앞서 우리은행은 지난달 19∼27일 희망퇴직 신청을 받아 대상자 선별 및 심의를 진행해왔다.    올해 희망퇴직은 1967년생부터 받았다. 관리자급은 1974년 말 이전, 책임자급은 1977년 말 이전, 행원급은 1980년 말 이전에 태어난 이들을 대상으로 진행했다.    퇴직자 중 1967년생은 월평균 임금 24개월치를, 1968년 이후 출생자부터는 36개월치를 특별퇴직금으로 각각 받게 된다.    기타 자녀 1인당 최대 2천800만원(2인 이내)의 학자금, 최대 3천300만원의 재취업지원금, 건강검진권, 여행상품권 등이 지원된다.    우리은행에 앞서 NH농협은행에서는 2021년(427명)보다 60명 이상 많은 493명이 지난해 말 퇴직했다.    pdhis959@yna.co.kr, ssun@yna.co.kr"
2023.01.30.,우리은행 김단비 1·2R 이어 4R도 MVP…이번 시즌만 3번째 수상,https://sports.news.naver.com/news.nhn?oid=382&aid=0001030008,<구조 다름>
2023.01.30.,"종료 6.7초 전 결승 슛...신한은행 김소니아, 우리은행 연속 두 번 잡았다",https://sports.news.naver.com/news.nhn?oid=241&aid=0003254417,<구조 다름>
2023.01.31.,"김소니아 25점 활약, 친정 우리은행 울렸다",https://sports.news.naver.com/news.nhn?oid=023&aid=0003743277,<구조 다름>
2023.01.31.,‘1강’ 우리은행 주춤… KB는 ‘하반기 반격’ 예고,https://sports.news.naver.com/news.nhn?oid=022&aid=0003779004,<구조 다름>
2023.01.31.,[Who Is ?] 이원덕 우리은행 은행장,url없음,<네이버 기사 없음>
2023.01.31.,우리원 데일리퀴즈 우리은행 1월 31일 정답,url없음,<네이버 기사 없음>
2023.01.30.,외환시장 선도은행에 산업·신한·우리·하나 등 6곳 선정,https://n.news.naver.com/mnews/article/421/0006601239?sid=101,"지난해 거래실적 바탕…외환건전성 부담금 최대 60% 감면기획재정부 전경 (기획재정부 제공) 2020.11.23/뉴스1(세종=뉴스1) 서미선 기자 = 기획재정부와 한국은행은 2023년 외환시장 선도은행(FX Leading Bank)으로 산업은행과 신한은행, 우리은행, 제이피모간체이스은행, 크레디아그리콜은행, 하나은행 등 6개 외국환은행을 선정했다고 30일 밝혔다. 외환시장 선도은행은 재무 건전성, 신용도 등이 양호한 외국환은행 중 매수·매도 양방향 거래실적이 우수한 6개 은행을 1년 단위로 선정한다. 올해 선도은행은 지난해 거래실적을 바탕으로 선정했다.다만 시장기능을 교란하거나 시장의 가격·깊이·유동성에 잘못된 인식을 발생시킬 수 있는 거래를 반복하는 등 외국환거래 질서를 저해한 은행은 제외 가능하다.선도은행엔 양방향 거래실적에 비례해 외환건전성 부담금을 최대 60%까지 감면해준다.외환당국은 선도은행과 외환시장 발전 및 제도 개선 등을 위한 정책소통을 지속하고, 외국환은행의 현물환 거래활성화 등을 위한 정책노력도 이어갈 계획이다."
2023.01.29.,"우리은행, '2023년 상반기 경영전략회의' 개최",https://n.news.naver.com/mnews/article/001/0013723883?sid=101,(서울=연합뉴스) 이원덕 우리은행장이 지난 28일 경기도 고양시 일산 킨텍스에서 열린 '2023년 상반기 경영전략회의'에서 경영목표를 발표하고 있다. 2023.1.29 [우리은행 제공. 재판매 및 DB 금지]    photo@yna.co.kr
2023.01.30.,마이데이터·슈퍼앱으로 비대면금융 성장세...MAU 1위는 우리은행,https://n.news.naver.com/mnews/article/030/0003075257?sid=101,"마이데이터 서비스 시행과 슈퍼 앱 전환으로 시중은행 MAU(월간활성화사용자수)가 크게 성장한것으로 나타났다. 금융결제원 마이데이터 종합 상황실 전경.지난해 은행 월간활성사용자수(MAU)가 크게 증가한 것으로 나타났다. 시중 은행 가운데는 우리은행의 '우리원(WON)뱅킹' 성장세가 가장 두드러졌다.30일 전자신문과 아이지에이웍스 모바일인덱스의 조사 결과 우리은행이 지난해 1월 말 대비 12월 말 MAU가 21.5% 성장, 5대 시중은행 디지털 뱅킹 앱 가운데 가장 가파른 성장세를 보였다. 1월 587만명에서 6월 632만명으로 올라선 후 12월에는 713만명을 기록, 연간 MAU 성장률 1위에 랭크됐다. 뒤를 이어 하나은행 하나원큐의 MAU는 1월 대비 12월 18.6% 성장했다. 1월 말 473만명에서 3월 말 505만명으로 올라선 후 점진적으로 상승, 12월 말 기준 562만명을 기록했다.시중은행 앱 가입자 1위인 국민은행 KB스타뱅킹은 지난해 12월 말 처음으로 MAU 1200만명을 돌파했다. 1월 말 1063만명에서 4월 말 1110만명대를 돌파했고, 12월 말 1215만명을 달성했다. 1월 말 대비 12월 말 MAU가 14.2% 성장, 시중은행 가운데 세 번째로 높은 성장세를 달렸다.신한은행의 '신한 쏠'은 1월 말 898만명에서 12월 말 945만명으로 올라서며 1000만 MAU 달성을 눈앞에 뒀다. 1월 말 대비 12월 말에 5.1% 성장했다. NH농협은행의 'NH올원뱅크'는 1월 말 335만명에서 12월 말 346만명으로 3.4% 증가, 성장세가 상대적으로 미미했다.마이데이터 서비스가 확산한 데다 은행별로 디지털 비대면 금융에 공을 들인 것이 주효한 것으로 분석됐다. IT 기반 핀테크 기업과의 경쟁에서 열세에 밀려 있던 은행이 여러 디지털 서비스를 접목하고, 하나의 앱에서 모든 기능을 해결하는 '슈퍼 앱' 전환에 성공을 거둔 것으로 평가된다.시중은행 관계자는 “은행 앱이 공급자 중심에서 사용자 관점으로 전환하면서 편의성을 높였다”면서 “기존 금융 상품·서비스 노하우에다 외부 채널과의 협업을 확대하면서 올해도 치열한 경쟁이 지속될 것”이라고 말했다."
2023.01.31.,우리은행에 연속 두 방 먹였다…신한은행 베테랑 포인트가드 이경은,https://sports.news.naver.com/news.nhn?oid=241&aid=0003254458,<구조 다름>
2023.01.30.,김소니아 ‘우리은행 또 잡자’ [포토],https://sports.news.naver.com/news.nhn?oid=382&aid=0001030094,<구조 다름>
2023.01.30.,"'신한은행전 2연패' 우리은행 위성우 감독 ""습관될까봐 걱정""",url없음,<네이버 기사 없음>
