기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.06.22.,"현대자동차, 日 CCC와 업무협약 체결",url없음,<네이버 기사 없음>
2023.06.22.,"현대차,日 콘텐츠 기업과 맞손…자동차 공유 서비스 확대한다",https://n.news.naver.com/mnews/article/016/0002159720?sid=101,"22일 도쿄서 MOU…장재훈 사장 참석모빌리티 서비스 발굴서 협력관계 조성도쿄 다이칸야마 티사이트(T-SITE)에서 현대차 장재훈(오른쪽) 사장과 CCC 다카하시 야스노리 대표이사 사장 겸 COO가 아이오닉 5 옆에서 기념촬영을 하고 있다. [현대차 제공][헤럴드경제=김성우 기자] 현대자동차가 일본 콘텐츠 기업 ‘컬처 컨비니언스 클럽(Culture Convenience Club·CCC)’과 업무협약(MOU)을 체결했다고 22일 밝혔다.도쿄 다이칸야마 ‘티사이트(T-SITE)’에서 열린 업무협약식에는 장재훈 현대자동차 사장, 타카하시 야스노리 CCC 대표이사 사장 겸 COO 등 양사 주요 관계자가 참석했다.CCC는 ‘문화 인프라를 만드는 기업’이라는 철학을 갖고 있는 기업이다. ‘라이프스타일을 파는 서점’으로 유명한 츠타야 서점 등 다양한 온오프라인 플랫폼을 보유하고 있다.현대차는 이번 MOU를 통해 CCC와 ‘ZEV(탄소 미배출 자동차)’ 모빌리티 라이프스타일 분야에서 서비스 발굴을 함께한다. 구체적으로 신개념 모빌리티 서비스, 데이터 기반 마케팅, 글로벌 체험 플랫폼 구축을 3대 주요 분야로 정했다.오는 23일부터는 CCC가 운영하는 도쿄 다이칸야마의 상업시설 ‘티사이트(T-SITE)’에서 현대차의 차량 공유 서비스 ‘모션(MOCEAN)’을 운영한다. 다이칸야마는 수제 맥주와 커피로스터, 고급 델리가 위치한 신흥상업지구다. ‘티사이트(T-SITE)’에는 츠타야 서점 등 라이프스타일에 기반한 상업시설이 자리 잡고 있다. 최근 도쿄 젊은 세대의 선호도가 높은 곳이다.현대자동차가 일본에 설치한 전기차 전용 충전기를 사용해 아이오닉5를 충전하고 일본 고객들. [현대차 제공]현대차는 ‘티사이트(T-SITE)’에서 아이오닉 5 공유서비스를 제공하고, 현대차의 충전 설비를 이용할 수 있도록 인프라를 구축할 계획이다. 추가로 CCC가 운영하는 다른 공간에서도 모션 서비스를 선보인다.ZEV 데이터베이스 마케팅 분야에서도 힘을 합친다. 현대차가 보유한 차량 데이터와 CCC의 고객 데이터를 활용한 개인 맞춤형 마케팅 확대가 골자다. 특히 데이터 클러스터링, 알고리즘 생성 분야에서 머리를 맞댄다.아울러 일본과 아세안 시장을 겨냥하는 ‘EV 체험 플랫폼’도 함께 구축하기로 했다. 현대차의 모빌리티 역량을 CCC의 콘텐츠에 결합해 시너지 효과를 내기 위해서다.장 사장은 “모빌리티와 콘텐츠로 영위하는 사업 분야가 다른 두 기업이 만나서 앞으로 다양한 분야에서 가능성을 창출할 수 있을 것으로 기대한다”면서 “고객의 취향에 대한 철저한 분석을 통해 새로운 라이프스타일을 기획하는 CCC와 함께 현대차가 추구하는 ZEV 문화를 확산시킬 계획”이라고 말했다.다카하시 야스노리 대표이사 사장은 “현대차가 갖고 있는 ‘사람 중심’ 철학에 공감한다”면서 “이번 협업으로 새로운 ZEV 라이프스타일을 제안하면서, 지구적 차원의 ‘제로 에미션(Emission)’을 위한 사회적 실천을 선도하겠다”고 화답했다."
2023.06.21.,"현대자동차, 상용 전동차 정비 인력 양성 위한 기술인증 프로그램 도입",https://n.news.naver.com/mnews/article/001/0014015338?sid=101,(서울=연합뉴스) 현대자동차가 '현대 상용 플릿 전동차 기술인증제(Hyundai Fleet Certification Program electified)' 론칭을 통해 상용 전동차 정비 인력 육성에 나선다고 21일 밝혔다. 사진은 현대차 천안글로벌러닝센터(GLC)에서 'HFCPe' 교육이 진행되는 모습. 2023.6.21 [현대차·기아 제공. 재판매 및 DB 금지]    photo@yna.co.kr
2023.06.21.,현대·기아·벤츠 등 제작결함 자동차 33만 대 리콜,https://n.news.naver.com/mnews/article/629/0000223072?sid=103,"7개 업체 22개 차종 약 32만7000대 리콜국토교통부가 자동차 업체 7곳의 22개 차종 약 32만7000대를 리콜한다고 밝혔다. /더팩트DB자동차를 생산·유통하는 7개 업체들의 22개 차종 약 32만7000대에서 제작결함이 발견돼 자발적으로 시정조치(리콜)에 들어갔다. 국토교통부는 21일 현대자동차, 기아, 메르세데스벤츠코리아, 한국GM, 포드세일즈서비스코리아, 폭스바겐그룹코리아, 에프엠케이에서 제작 또는 수입·판매한 22개 차종 32만6723대를 리콜한다고 밝혔다.리콜 대상 차량은 각 제작·판매사의 공식 서비스센터에서 무상 수리를 받을 수 있다. 이미 자비로 수리한 경우에도 제작사에 보상을 신청할 수 있다.우선 현대자동차의 G80·GV80·GV70·GV60·GV70EV 등 5개 차종 27만3643대는 앞좌석 안전띠 조절장치의 내부 부품(가스발생기) 불량으로 오는 30일부터 리콜한다. GV60 2438대는 동력전달장치 제작 오류로 오는 23일부터 리콜한다.국토교통부가 (왼쪽 상단부터) △벤츠S 580 4MATIC △GV60 △G80 △이쿼녹스 등 22개 차종을 리콜한다. /국토교통부폭스바겐 벤틀리 플라잉스퍼 V8 724대는 뒷좌석 엔터테인먼트 스크린 고정 불량으로, 벤츠S 580 4MATIC 등 10개 차종, 9178대는 자동차안정성제어장치의 소프트웨어 오류로 오는 23일부터 시정조치될 예정이다.기아의 봉고3 3만6171대는 보조 히터 설계 오류로, 포드 머스탱 2210대는 후방카메라 화면이 표시되지 않아 이달 27일부터, 한국GM의 이쿼녹스 2294대는 어린이 보호용 좌석 부착장치 두께의 안전기준 부적합으로 30일부터 리콜을 실시한다.페라리 296 GTB 등 2개 차종 65대는 연료탱크 연결파이프 불량에 따른 연료 누유 가능성으로 내달 1일부터 시정조치에 들어갈 예정이다.한편, 국토부는 '자동차리콜센터'를 운영 중이다. 홈페이지에 접속해 차량번호와 차대번호를 입력하면 리콜 대상 여부와 구체적인 제작결함 사항을 확인할 수 있다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write"
2023.06.21.,"현대자동차, 밴드 잔나비와 함께한 음원 'pony' 공개",url없음,<네이버 기사 없음>
2023.06.21.,"현대자동차, 상용 전동차 정비 인력 양성 위한 기술인증 프로그램 도입",url없음,<네이버 기사 없음>
2023.06.21.,"현대차·기아, 베트남 자동차 시장 공략...""최상위권 굳힌다""",url없음,<네이버 기사 없음>
2023.06.22.,"현대자동차, 日 CCC와 무공해 차량 라이프스타일 만든다",url없음,<네이버 기사 없음>
2023.06.22.,"현대차·기아, 자동차 신흥시장 베트남 공략…올 하반기 생산 역량 확대",https://n.news.naver.com/mnews/article/022/0003825698?sid=101,"2022년 11월 현대차 베트남 생산합작법인 2공장 준공식. 현대차그룹 제공       현대자동차와 기아가 동남아시아 신흥 자동차 시장으로 떠오르고 있는 베트남에서 판매 최상위권 입지 다지기에 나선다.     21일 현대차그룹에 따르면 현대차는 2017년 베트남 현지 업체 탄콩그룹과 베트남 닌빈성에 생산 합작법인 HTMV를 설립하고, 그랜드 i10, 아반떼, 투싼, 싼타페를 생산해 오고 있다.     HTMV에서 생산한 차량 판매량은 2017년 1만5570대에서 2018년 5만8111대, 2019년에는 7만4973대로 크게 늘었다.     이에 따라 현대차는 2019년 총 판매 대수(한국에서의 수출물량 포함) 7만9568대를 기록해 베트남 시장의 전통 강자였던 도요타(7만9328대)를 제치고 1위에 올랐다. 2020년과 2021년에도 각각 8만1368대와 7만518대를 팔아 3년 내리 현지 시장 1위를 달성했다.     아울러 현대차는 2021년 판매 합작법인 HTV를 설립하고, 지난해에는 HTMV 2공장을 준공하는 등 동남아 4위 자동차 생산·판매국인 베트남 시장 공략에 힘을 쏟고 있다.     기아는 2004년 베트남 쯔엉하이자동차(THACO)와 반제품 조립(CKD) 방식 사업을 시작했고, 2018년 2만8986대, 2019년에는 3만103대를 판매했다.     2020년에는 코로나 확산으로 전체 수요가 급감해 도요타, 포드 등 대다수 업체의 판매가 줄었으나, 기아는 30.2% 증가한 3만9180대를 팔았다. 작년에는 베트남 진출 후 처음으로 연간 6만대를 돌파했다.     올해에도 5월까지 현대차는 2만2903대를 판매해 도요타(2만1547대)에 앞서며 누적 판매 1위를 기록하고 있다. 기아도 1만3951대를 판매했다.     다만 현대차는 지난해 판매 1위 자리를 도요타에 내줬다.     지난해 베트남 시장에서의 현대차 판매량은 전년 대비 15.7% 증가한 8만1582대로 도요타에 이어 2위를 기록했다. 기아는 33.4% 늘어난 6만729대로 3위를 기록했다.        2022년 4월 베트남에서 공개한 아이오닉5. 현대차그룹 제공       현대차와 기아는 올 하반기에도 생산 역량을 확대하고 판매 차종을 다변화하는 등 점유율 확대 노력을 이어가며 판매 최상위권 업체로서 자리를 굳힐 계획이다.     현대차는 엑센트, 크레타, 싼타페 등 기존 판매 차종 판촉에 주력하면서 신규 스포츠유틸리티차(SUV)와 다목적 차량(MPV) 모델을 추가로 투입할 예정이다. 전용 전기차 아이오닉5를 7월부터 현지에서 본격 생산해 전기차 시장 공략에도 나선다. 기아도 쏘넷, 카니발, 스포티지 등의 판촉과 마케팅을 강화한다.     글로벌 업체들의 베트남 자동차 시장 투자와 진출도 이어지고 있다.     BMW그룹은 작년 12월 베트남 자동차 제조사 타코와 협력을 통해 BMW 차량을 현지에서 위탁 생산한다는 계획을 발표했다.     포드도 2021년 하이즈엉에 있는 조립공장 투자를 늘려 연간 생산량을 종전 1만4000대에서 4만대 규모로 확대했다.     최근 KG모빌리티는 베트남 킴롱모터스와 현지 조립·판매 계약을 맺고 내년부터 티볼리 등을 현지 판매한다고 밝혔다.     베트남자동차제조협회(VAMA)에 따르면 지난해 베트남 자동차 시장 판매량은 총 40만4635대로 전년보다 33% 증가했다.     올해에는 인플레이션, 경기 침체, 고금리 등 영향으로 수요가 감소해 5월까지 누적 판매량이 전년 대비 35.7% 감소한 11만3527대를 기록하고 있다. 그러나 지속적 경제 성장과 함께 현지 소비자들의 소득 수준도 높아지는 추세라 2025년에는 연간 판매량이 50만대를 넘어설 것으로 업계에서는 전망하고 있다.     베트남 정부는 탄소중립 달성을 목표로 2050년까지 모든 차량을 전기차 등 친환경차로 전환할 계획이어서 전기차 시장 확대 가능성도 크다.     베트남의 전기차 등록 대수는 아직 0.2% 수준으로, 정부가 전기차 보급 활성화를 위해 작년 3월부터 등록비 면제와 특별소비세 감면 등을 시행 중이다.     현지 브랜드 빈패스트가 정부 지원을 바탕으로 작년 8월부터 내연기관차 생산을 중단하고 전기차 생산에 주력하고 있다.     아이오닉5 생산·판매 예정인 현대차를 비롯해 포르쉐, 아우디, 벤츠, 볼보 등 주요 글로벌 업체들도 향후 베트남에서 전기차 모델을 출시할 예정이다.     정의선 현대차그룹 회장은 윤석열 대통령의 파리 국제박람회기구(BIE) 총회 참석에 민간 대표단 일원으로 동행한 데 이어 윤 대통령의 베트남 국빈 방문에도 경제사절단으로 합류한다."
2023.06.20.,"현대차의 핵심 전략은 ""2030년 전기자동차 200만대 판매""",url없음,<네이버 기사 없음>
