기사날짜,기사제목,네이버 뉴스 url,기사내용
2022.07.27.,예적금 빨아들이는 시중은행…증시 하락에 '역머니무브' 가속화,https://n.news.naver.com/mnews/article/015/0004729633?sid=101,"한 달도 안돼 시중은행 예금 19조 늘어신한·우리銀, 12개월 예·적금 기본금리 3.25~3.30%카뱅·케뱅, 기본금리는 2.5~3%대한국은행의 빅스텝(기준금리 0.5%포인트 인상)으로 은행들의 예금금리가 오르면서 시중은행으로 자금이 몰려들고 있다. 인터넷은행의 예·적금 금리와 비교해도 상대적으로 시중은행의 예금금리가 높다는 점도 자금이 쏠린 이유로 풀이된다.27일 금융권에 따르면 지난 21일 기준 5대 은행(KB국민·신한·하나·우리·NH농협)의 정기 예금 잔액(농협은행은 20일 기준)은 704조4484억원으로 지난 6월 말보다 19조3525억원이나 늘었다. 같은 기간 정기 적금 잔액은 4991억원 증가한 39조9634억원으로 집계됐다. 5대 은행 예·적금 잔액은 이달에만 20일새 19조8516억원 증가한 셈이다. 이는 6월 전체 증가분(6조237억원)의 3배를 뛰어넘는 수준이다.한국은행의 빅스텝으로 시중은행들의 예금금리가 일제히 오르면서 '역머니무브'가 가속화된 영향으로 풀이된다. 역머니무브는 주식 등 위험자산을 매도하고 자금을 예·적금에 넣는 현상을 의미한다. 은행권에선 최근 주식시장 및 가상화폐 시장이 하락하면서, 안전한 예·적금에 대해 문의하는 고객들이 늘고 있다.하나은행은 적금 22종, 예금 8종에 대한 기본금리를 최대 0.9%포인트 올렸다. 우리은행도 21개 정기예금과 25개 적금 금리를 최대 0.8%포인트 인상했고, NH농협은행도 예·적금 금리를 최대 0.6%포인트 인상했다.이는 시중은행의 예적금 상품의 금리 인상으로 이어졌다. 신한은행은 '아름다운 용기 정기예금'의 금리를 최근 0.4%포인트 올려 연 3.25%의 기본금리를 제공하고 있다. 매월 50만원에서 최대 3000만원까지 납입할 수 있는 1년 만기 예금으로, 생활 속 ESG를 실천하면 우대금리도 제공한다. 추가로 △1회용 컵 보증금 제도 알고 실천하기 서약한 경우 △비대면 또는 무통장 신규고객, 디지털 창구 신규고객 등에 한해 최대 연 1.50%의 우대금리를 적용한다.우리은행의 WON적금은 1년 기준으로 기본금리 3.30%를 제공한다. 만기 해지 시까지 우리 오픈뱅킹 서비스에 타행계좌가 등록된 경우에 대해 0.10%포인트의 우대금리를 적용한다. 월 최대 50만원까지 납입할 수 있는 상품이다.하나은행의 도전365적금은 1년 기준으로 기본금리 2.2%를 제공하며, 최대 연 1.7%포인트 우대금리를 적용한다. 신규로 계좌를 개설한 날로부터 11개월 되는 날까지 걸음수 데이터가 350만보 이상이면 연 1.50%포인트 우대금리를 제공하고, 자동이체 등록 우대로도 0.10%포인트 우대금리를 준다.NH농협은행에선 'NH왈츠회전예금II' 상품이 대표적으로 고금리를 제공한다. 해당 상품은 1개월부터 12개월까지 월 단위로 회전주기(자동 재가입)를 고를 수 있는 만큼, 금리 인상기에 유리한 조건이다. 12개월 만기 기본금리 3.15%에 우대금리를 더해 최대 3.25%까지 이자를 제공한다. KB국민은행의 'KB Star 정기예금'은 만기 시 원금과 이자를 자동으로 재예치하고, 최대 2회 분할 인출이 가능하다. 이 상품은 12개월 기준 연 3.20%, 최대 기간인 36개월 만기로 가입 시 연 3.30%의 이율을 보장한다./사진=게티이미지뱅크상대적으로 인터넷 은행보다 금리가 높다는 점도 시중은행으로 자금이 몰린 이유로 풀이된다. 매월 최대 30만원이 입금할 수 있는 케이뱅크의 코드K정기적금은 1년 기본금리가 2.90%로 책정됐다. 3년 가입시 3.40%의 금리를 제공한다. 목표를 정해서 일정 기간 목돈을 모으는 '챌린지박스'는 기본 1.50%금리에 자동 모으기 서비스를 통해 성공 조건을 달성하면 1.50%의 우대금리를 제공한다. 카카오뱅크의 정기예금은 1년 이상 2년 미만의 기간에 대해 연 2.50%의 금리를 제공한다. 자유적금은 같은 기간에 대해 연 2.70% 금리를 부여하고, 자동이체 우대금리로 0.20%포인트를 추가로 받을 수 있다.26주 적금은 6개월 기준으로 연 2.50% 금리를 제공하며, 자동이체 납입을 연속 성공하고 만기 해지한 경우 7주 연속 성공했다면 연 0.20%포인트의 우대금리를, 26주 연속 성공 시엔 연 0.30%포인트의 우대금리를 각각 제공한다. 총 0.50%포인트의 우대금리가 적용되는 셈으로, 최종 금리는 3% 수준이 된다.토스뱅크는 1억원까지 연 2%를 제공하는 파킹통장을 제공하고 있으며, 최근 내놓은 '키워봐요 적금'의 기본금리는 1%로, 매주 자동이체로 25회 연속 저금에 성공하면 우대금리로 2%를 제공한다. 납입한도는 월 최대 100만원으로, 매주 1000원부터 20만원까지 납입할 수 있는 상품이다."
2022.07.31.,휴가철 ‘여행족’도 ‘집콕족’도 저축은행 서비스 ‘주목’,url없음,<네이버 기사 없음>
2022.07.29.,"통신, 전기산업, 헬스케어…非금융과 손잡는 은행들",https://n.news.naver.com/mnews/article/277/0005125068?sid=101,"SKT, KT등 통신사와 '혈맹' 맺는 은행들헬스케어, AI 등 새 영역 주자들과 맞손지난 22일 서울 중구 을지로 SK텔레콤 사옥에서 함영주 하나금융그룹 회장(왼쪽)과 유영상 SK텔레콤 사장이 전략적 파트너십 체결 후 기념 촬영을 하고 있다.은행들이 통신, 헬스케어 등 이종 산업과 활발히 손 잡고 있다. 경계가 무너지는 '빅블러'시대에 대비해 다양한 가능성을 확보하려는 전략으로 풀이된다.28일 금융권에 따르면 하나금융은 최근 SK텔레콤과 4000억원 규모의 지분을 교환하기로 했다. 이와 함께 ▲금융 디지털 전환 ▲통신·금융 데이터 결합으로 새 사업 발굴 ▲양사 인프라 공동 활용 ▲디지털 기반 공동 마케팅 ▲양사 고객 특화 상품 및 서비스 융합 ▲환경·사회·지배구조(ESG) 협력 등을 골자로 하는 업무협약(MOU)도 체결했다. SK텔레콤 포함해 SK스퀘어 등 계열사와 협업해 통신뿐만 아니라 커머스, 미디어, 보안 등의 영역과 금융을 결합하는 초협력을 펼친다는 목표에서다.이종 간의 결합은 이번이 처음이 아니다. 하나은행은 이미 이달 초 블록체인 기반 메타버스 플랫폼 기업 '더 샌드박스'와 범세계적 메타버스 플랫폼 사업을 위한 MOU를 체결했다. 지난 5월에는 의료 정밀진단 플랫폼 기업 '엔젠바이오'와 'VIP 헬스케어 서비스 제공을 위한 업무협약'을 체결했다고 밝혔다. 이를 통해 VIP고객을 대상으로 다양한 건강관리를 제공하고 향후에는 헬스케어 데이터 제휴를 통해 다양한 금융서비스를 제공하는 방안도 검토 중이다.신한금융도 일찌감치 지난 1월 KT와 지분을 맞교환하며 '혈맹' 관계를 다졌다. 최근 신한은행은 국내 은행 최초로 한국전기산업진흥회와 MOU도 체결했다. 전기산업 기업에 각종 금융 솔루션을 제공하고 해외 진출을 돕겠다는 취지에서다. 해외직접투자 관련 전문 금융서비스를 꾸준히 특화시키면서 추가 사업모델 발굴에도 힘을 쓰고 있는 상황이다.신한금융은 자체적으로 이종 사업에 진출하기도 했다. 지난 1월 금융사 최초로 내놓은 배달주문 애플리케이션(앱) '땡겨요'가 대표적이다. 배달의민족, 요기요 등 선발주자들이 장악하고 있는 배달시장에서 저렴한 수수료와 '사장님 지원금' 등 금융서비스로 차별화에 성공했다는 평가다. 현재 서울시 전역과 경기도 부천시, 부산시 4개구에서 서비스 중인 땡겨요는 지난달 말 기준 월간활성이용자(MAU) 15만7000명을 기록했다. 지난 1월 1만8000명 수준에서 8배 가까이 성장한 것이다. 오는 9월에는 누적 회원수 100만명도 돌파할 것으로 예상된다.우리은행은 최근 연세대와 인공지능(AI) 연구개발을 위해 손 잡았다. 최신 AI 기술을 금융업에 적용하기 위한 알고리즘을 공동으로 연구하고 사업모델에 적용하기 위해서다. 지난 4월에는 AI기반 공급망관리 소프트웨어 기업 '엠로'와 손 잡고 공급망 플랫폼을 개발하기로 했다. 플랫폼 상에서 엠로의 구매시스템과 우리은행의 전용 금융상품을 함께 제공할 수 있도록 하기 위해서다.구본성 한국금융연구원 선임연구위원은 ""현 은행권의 금융 중심 플랫폼은 종합금융 기반 경쟁력을 활용해 관계형 금융, 기업금융, 고부가서비스를 제공할 수 있지만 새로운 소매고객 확보나 비금융 수요와의 연계, 기술적 우위를 확보하는 데 아직 제한적""이라며 ""공격적인 디지털 마케팅이나 외부 기술의 신속한 활용을 위한 생태계를 구축할 필요가 있다""고 조언했다."
2022.07.12.,"우리은행, 4천억원 규모 ESG 채권 발행",https://n.news.naver.com/mnews/article/001/0013304935?sid=101,"우리은행[우리은행 제공. 재판매 및 DB금지](서울=연합뉴스) 민선희 기자 = 우리은행은 ESG(환경·사회적 책무·기업 지배구조) 채권 형식의 4천억원 규모 원화 후순위채권(조건부자본증권)을 발행했다고 12일 밝혔다.    우리은행은 애초 채권을 2천700억원 규모로 발행할 계획이었으나, 모집금액의 1.5배에 가까운 수요가 몰려 최종 발행 금액을 4천억원으로 결정했다고 설명했다.     이번 채권은 만기 10년, 연 4.46%의 고정금리로 발행됐다. 발행금리는 국고채 10년 금리에 발행 스프레드 1.10%포인트(p)를 가산해 결정됐다.     우리은행은 올해 시중은행에서 발행된 후순위채권 가운데 가장 낮은 금리이며 발행금액 규모도 가장 크다고 전했다.    이번 채권은 신재생에너지 개발 등 녹색금융에 사용하는 '그린본드'와 사회적 취약계층 지원 등을 위한 '소셜본드'가 결합한 지속가능채권이다.     이번 채권 발행을 통해 우리은행의 국제결제은행(BIS) 기준 자기자본비율은 0.25%포인트 높아질 것으로 예상된다.    우리은행 관계자는 ""이번 채권 발행을 통해 자본 적정성 제고와 함께 사회적 책임을 다하는 ESG 경영을 적극적으로 실천하도록 최선을 다할 것""이라고 밝혔다.    ssun@yna.co.kr"
2022.07.29.,[금융업계기상도]우리은행 ‘비’·KB국민은행 ‘맑음’,url없음,<네이버 기사 없음>
2022.07.22.,"우리은행, ‘디지털 자격증명 전자지갑’ 서비스 시행",https://n.news.naver.com/mnews/article/119/0002623334?sid=101,"DID 기술 활용'우리은행' 로고[데일리안 = 이호연 기자] 우리은행은 ‘우리WON뱅킹’에서 전문직 종사자들의 자격증을 전자화해 발급·활용할 수 있는‘디지털 자격증명 전자지갑’서비스를 시행한다고 22일 밝혔다.디지털 자격증명 전자지갑 서비스는 블록체인 DID(탈 중앙화된 신원 증명) 기술에 기반한 것으로 증명서의 위·변조에 안전한 특징을 가진다. 이를 통해 발급된 디지털 자격증명서는 서비스 제공 회사의 서버가 아닌 사용자 본인의 휴대 전화 안전 영역에 직접 저장된다. 또한 이를 보유한 사용자는 제출 기관에 필요한 정보만을 선택해 제공할 수 있다.우리은행은 이번 서비스 시행과 관련해 서울지방변호사회와 협약도 진행했다. 우리은행은 서울지방변호사회 소속 변호사들에게‘디지털 자격증명서’를 발급하며, 이를 발급받은 변호사는 우리은행 전문직 종사자 전용 신용 대출 상품인 ‘우리 스페셜론’신청 시 이를 활용할 수 있다.기존 종이 형태의 증명서를 소속 변호사회로부터 발급받아 은행에 제출해야 했던 절차를 간소화했다는 점에서 고객 편의가 대폭 증진될 것으로 기대된다. ‘종이 없는 사회’로의 진입에 일조하는 ESG 경영과도 맞닿아 있다. 고객과 은행 모두 자격증명서의 위/변조·훼손·부정 사용 위험을 크게 낮춰 금융 사고를 예방하는 데 기여할 것으로 보인다.우리은행 관계자는 “블록체인 DID 기술 기반의 디지털 자격증명 전자지갑을 시작으로 금융 산업의 혁신 서비스를 지속적으로 발굴, 확장해 나아갈 계획”이라며 “이를 통해 새로운 디지털 경험을 고객에게 제공함으로써 고객 만족에 앞장 서겠다”고 말했다."
2022.07.12.,"우리은행, ESG 후순위채 4000억 발행 성공",https://n.news.naver.com/mnews/article/018/0005265667?sid=101,"선제적 자기자본 확충...BIS비율 0.25%p 상승될 듯[이데일리 전선형 기자] 우리은행은 12일 지속가능경영을 위한 ESG(환경·사회·지배구조)채권 형식의 원화 후순위채권(조건부자본증권) 4000억원 발행에 성공했다고 밝혔다. 당초 2700억원 규모로 발행할 계획이었으나, ESG채권에 대한 투자자들의 높은 관심과 기관투자자 등의 참여 속에 모집금액의 1.5배에 가까운 수요가 몰려 최종 발행 금액을 4000억원으로 결정했다.(사진=우리은행)이번 채권의 만기는 10년이며, 연 4.46%의 고정금리로 발행됐다. 발행금리는 국고채 10년 금리에 발행스프레드 1.10%포인트를 가산한 금리로, 올해 시중은행에서 발행된 후순위채권 가운데 가장 낮은 금리이며, 발행금액도 가장 크다.특히, 이번 채권은 신재생에너지 개발 등 녹색금융에 사용하는 ‘그린본드’와 사회적 취약계층 지원 등을 위한 ‘소셜본드’가 결합된 지속가능채권이다. 또한, 이번 발행을 통해 우리은행의 BIS비율은 0.25%포인트 상승할 것으로 예상된다.우리은행 관계자는 “지난 상반기에 채권금리가 지속 상승하며 장기물에 대한 투자심리가 위축되는 등 발행시장이 녹록하지 않았다”며 “최근 금리가 큰 폭으로 하락해 신속하게 발행 일정을 잡고 투자설명회를 실시해 이번 채권을 성공적으로 발행할 수 있었다”고 말했다.이어 “이번 발행을 통해 자본적정성 제고와 함께 사회적 책임을 다하는 ESG경영을 적극 실천하도록 최선을 다할 것”이라고 전했다."
2022.07.13.,"우리은행, 예적금 금리 최대 0.8%p 인상",https://n.news.naver.com/mnews/article/003/0011302206?sid=101,"[서울=뉴시스] 이정필 기자 = 우리은행은 한국은행 기준금리 인상에 따라 21개의 정기예금과 25개의 적금 금리를 14일부터 최대 0.80%포인트(p) 인상한다고 13일 밝혔다.우리은행에 따르면 예금상품은 비대면 전용 '우리 첫거래우대 예금'을 최고 연 3.10%에서 최고 연 3.60%로 인상한다. 그 외 다른 정기예금 상품의 금리는 0.25~0.50%p 인상한다. 우리은행은 시장금리 연동상품으로 'WON플러스 예금' 등을 운용하고 있다. 향후 금리 상승을 반영해 시중은행 최고 금리 수준을 제시할 계획이다.적금의 경우 '우리 SUPER주거래 적금'은 최고 연 3.65%에서 최고 연 4.15%로 인상한다. '우리 으쓱(ESG) 적금'은 최고 연 2.90%에서 최고 연 3.70%로 인상한다. 비대면 전용상품뿐 아니라, 영업점에서 판매 중인 대부분의 적금상품 금리도 0.20~0.80%p 인상한다．"
2022.07.22.,"우리금융, 상반기 당기순이익 1조7614억 원…""견고한 펀더멘털 재확인""",url없음,<네이버 기사 없음>
2022.07.27.,우리은행 상반기 순익 21% 성장...이원덕 행장 '가뿐한 첫해',url없음,<네이버 기사 없음>
