기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.02.28.,"""금리 깎아주세요"" 내 요구 가장 잘 들어준 은행은?",https://n.news.naver.com/mnews/article/374/0000324963?sid=101,"'금리인하 수용률' 농협銀 최고…인하금리는 하나銀지난해 하반기 5대 시중은행 가운데 금리 인하 요구를 수용하는 비율이 가장 높은 곳은 NH농협은행, 반대로 가장 낮은 곳은 하나은행으로 조사됐습니다.은행연합회는 28일 지난해 하반기 국내 17개 은행별 금리인하요구권 운영실적을 공시했습니다.금리인하요구권은 금융소비자가 취직이나 승진, 소득증가 등이 있을 경우 금리를 낮춰 달라고 은행에 인하 요구할 수 있는 권리입니다.금리인하요구권 수용률 '최저' 하나은행…NH농협 '최고'은행연합회에 따르면 5대 은행 중에서는 NH농협은행이 69.3%로 금리인하요구권 수용률이 가장 높았습니다.이어 우리은행(37.9%), KB국민은행(36.9%), 신한은행(33.0%), 하나은행(26.9%) 순이었습니다.하나은행 관계자는 ""이미 최저 금리가 적용된 이들이 많았기 때문에 금리인하요구권이 적용되지 않아 수용률이 낮았다""고 설명했습니다. 금리인하 요구권 수용 뒤 내린 금리 수준은 우리은행이 0.12%p로, 5대 시중은행 가운데 가장 낮았습니다.우리은행의 가계대출과 기업대출의 인하금리는 각각 0.1%p, 0.31%p로 집계됐습니다.가장 높게 금리를 낮춘 곳은 하나은행으로 총 0.4%p(가계 0.36%p, 기업 0.30%p)의 금리를 인하한 것으로 나타났습니다.  이어 NH농협은행이 0.29%p(가계 0.4%p, 기업 0.29%p), 신한은행이 0.2%p(가계 0.25%p, 기업 0.2%p), KB국민은행이 0.2%p(가계 0.17%p, 기업 0.47%p)의 금리를 낮췄습니다.각 은행의 인하된 금리 수준은 이달부터 처음 공시됐습니다. 이전까지 금리인하요구 건수 위주의 공시를 보완한 겁니다.이자 감면액 '최고'는 신한은행금리인하요구로 '줄어든 이자액수'가 가장 적은 곳은 KB국민은행으로 전체 이자 감면액은 7억3천100만 원이었습니다.국민은행의 금리인하요구권 수용건수가 9천966건으로 집계된 것을 고려하면 1만 건에 달하는 금리인하요구권 시행으로 국민은행이 7억3천100만 원을 썼다는 의미입니다. 1건 당 부담한 금액이 7만 원 수준입니다.반면 이자 감면액이 가장 큰 곳은 신한은행으로, 62억4천700만 원으로 집계됐습니다.신한은행의 금리인하요구권 수용건수는 4만5천67건, 1건당 감면액은 14만 원 정돕니다.가계대출 금리인하요구 '비대면 신청률' KB국민은행 '최저'금리인하요구권 신청 시 '앱'을 통한 비대면 신청률이 가장 낮은 곳은 KB국민은행이었습니다.비대면 신청률이란, 금리인하요구 신청건수 중 비대면 금리인하요구 신청건수를 의미합니다.국민은행의 가계대출 금리인하요구 비대면 신청률은 87.5%로 집계됐습니다.가계대출 비대면신청률이 가장 높은 곳은 하나은행으로 99.8%을 기록했습니다.이어 우리은행과 신한은행이 각각 99.5%를 보였고, NH농협은행이 94.8%의 신청률을 보였습니다.지방은행·인뱅 중에서는 '전북·케이뱅크' 최고지방은행과 인터넷은행들은 전반적으로 금리인하요구(가계대출) 수용률이 낮았습니다.지방은행 가운데서는 전북은행(47.8%)이 가장 높았고, 이어 부산(45.9%) 광주(39.6%) 대구(35.5%) 경남(19.3%) 제주(8.7%) 순이었습니다. 제주은행의 경우 신청 건수가 598건에 불과해 수용률도 낮았습니다.인터넷은행 중에선 케이뱅크가 35.7%로 수용률(가계대출)이 가장 높았습니다. 상반기 대비 11.1%p 높아졌습니다. 지난해 하반기 수용 건수가 4만735건으로 상반기 2만7천661건보다 늘어 수용률이 높아졌습니다.카카오뱅크(23.4%)와 토스뱅크(18.7%)가 뒤를 이었습니다."
2023.02.28.,‘금리 좀 내려달라’…내 요구 가장 잘 들어준 은행은?,https://n.news.naver.com/mnews/article/028/0002629420?sid=101,"총 이자 감면액이 가장 큰 곳은 신한은행서울 시내에 시중은행 자동입출금기가 나란히 설치된 모습. 연합뉴스지난해 하반기 5대 시중은행 중 대출 금리를 내려달라는 차주 요구를 가장 잘 들어준 곳은 엔에이치(NH)농협은행인 것으로 나타났다. 총 이자 감면액이 가장 큰 곳은 신한은행이었다.28일 은행연합회 소비자포털에 공시된 2022년 하반기 19개 은행의 가계 및 기업대출 금리인하요구권 수용 현황을 보면, 5대 시중은행(신한·케이비(KB)국민·하나·우리·엔에이치(NH)농협) 중 엔에이치 농협의 수용률이 69.3%로 가장 높게 나타났다. 그 뒤를 우리(37.9%)·케이비국민(36.9%)·신한(33%)·하나(26.9%)은행이 뒤따랐다.이 같은 순위는 가계대출로 한정했을 때도 동일하게 나타났다. 금리인하요구권은 신용점수 상승 등에 따라 대출 시점과 견줘 대출 금리 인하 요인이 생긴 차주가 은행에 금리를 내려달라고 요구할 수 있는 권리다. 수용률은 신청건수 대비 수용건수를 의미한다.5대 은행 중 금리인하권을 수용한 결과 가장 큰 폭으로 금리를 내려준 곳은 엔에이치농협은행과 하나은행이었다. 두 은행의 인하금리는 0.4%포인트였고, 신한(0.2%포인트)·케이비국민(0.2%포인트)·우리(0.12%포인트)는 그 절반 수준이었다. 인하금리는 실제 금리인하 폭을 금리인하가 수용된 대출잔액으로 가중평균한 값이다.수용 건수만 놓고 봤을 때는 우리은행이 6만3천건으로 가장 많았다. 그 뒤로 신한(4만5천건)·하나(1만1천건)·엔에이치농협(1만1천건)·케이비국민(9천건) 순이었다.금리 인하 결과 은행이 고객에 깎아준 총 이자 금액 규모가 가장 컸던 곳은 신한은행이었다. 이자감면액은 낮아진 금리를 적용했을 때 1년간 은행들이 고객들에게 깎아준 이자 총액을 의미하는데, 신한은행이 62억4700만원으로 집계됐다. 신한은행은 인하금리 폭이 3위였지만, 이를 적용해준 대출 건수가 두번째로 많아 감면 금액 규모가 컸다. 우리은행이 37억4800만원, 하나은행이 28억2900만원, 엔에이치농협은행이 11억5400만원, 케이비국민은행이 7억3100만원 수준으로 나타났다."
2023.02.26.,"우리은행, 혁신 스타트업에 직접 투자한다",https://n.news.naver.com/mnews/article/050/0000064194?sid=101,"우리은행(은행장 이원덕)은 2월 27일부터 3월 10일까지 '제11차 중소기업 성장지원을 위한 투자대상기업 공모'를 실시한다고 26일 밝혔다.우리은행은 2018년 6월부터 4차 산업혁명 시대에 맞는 성장동력 확보를 위해 발전 가능성이 높은 중소기업에 은행이 직접투자하는 제도를 신설했다. 2022년 하반기까지 총 10번의 공모를 통해 90개 기업, 약 877억원을 투자해 중소기업의 성장을 적극적으로 지원하고 있다.이번 모집 대상은 스타트업 등 혁신성과 성장성을 보유한 중소법인으로 우리은행과 금융거래가 없어도 지원 가능하며 제출서류, 접수방법 등 세부내용은 우리은행 인터넷뱅킹 내 ‘우리뉴스’란을 통해 확인 가능하다.우리은행은 기술성, 사업성 평가 등의 내부 심사 단계를 거쳐 올해 6월까지 약 15곳 내외의 투자 대상기업을 선정하여, 상환전환우선주(RCPS) 등의 방식으로 각 기업에 10억원 이내의 자금을 투자할 계획이다.우리은행 관계자는 “우리은행은 사회적 책임을 다하기 위해 중소기업의 창업과 성장을 지원하는 다양한 사업을 준비하고 있다”며,“우수 기술을 보유한 혁신기업에 대한 지속적인 직접투자를 통해 우리 경제의 핵심기업으로 성장할 수 있도록 지원할 계획이다”고 말했다."
2023.02.28.,"'절대 1강' 우리은행 피하자…여자농구 3위와 4위, 최종전서 갈린다",https://sports.news.naver.com/news.nhn?oid=421&aid=0006655852,<구조 다름>
2023.02.26.,"우리은행, 직접투자 받을 중소기업 모집",https://n.news.naver.com/mnews/article/003/0011711310?sid=101,"기사내용 요약15곳 내외 선정해 각 10억 이내 투자계획[서울=뉴시스] 이정필 기자 = 우리은행은 27일부터 3월10일까지 제11차 중소기업 성장지원을 위한 투자대상기업 공모를 실시한다고 26일 밝혔다.이번 모집 대상은 스타트업 등 혁신성과 성장성을 보유한 중소법인으로 우리은행과 금융거래가 없어도 지원 가능하다. 제출서류, 접수방법 등 세부내용은 우리은행 인터넷뱅킹 내 '우리뉴스' 란을 통해 확인 가능하다.우리은행은 기술성, 사업성 평가 등의 내부 심사 단계를 거쳐 올해 6월까지 약 15곳 내외의 투자 대상기업을 선정할 예정이다. 상환전환우선주(RCPS) 등의 방식으로 각 기업에 10억원 이내의 자금을 투자할 계획이다.우리은행은 2018년 6월부터 4차 산업혁명 시대에 맞는 성장동력 확보를 위해 발전 가능성이 높은 중소기업에 직접 투자하는 제도를 신설했다. 지난해 하반기까지 총 10번의 공모를 통해 90개 기업에 약 877억원을 투자해 성장을 적극적으로 지원하고 있다.우리은행 관계자는 ""중소기업의 창업과 성장을 지원하는 다양한 사업을 준비하고 있다""며 ""우수 기술을 보유한 혁신기업에 대한 지속적인 직접투자를 통해 우리 경제의 핵심기업으로 성장할 수 있도록 지원할 계획""이라고 말했다."
2023.02.27.,"우리금융, 비은행 확대 박차…'다올인베스트먼트' 자회사 편입 [은행오늘]",url없음,<네이버 기사 없음>
2023.02.27.,"우리은행, 신입행원 플로깅 봉사활동 실시",url없음,<네이버 기사 없음>
2023.02.27.,"우리은행, 신입행원 플로깅 봉사활동 실시",url없음,<네이버 기사 없음>
2023.02.28.,석달만에 1%p 빠진 전세대출 금리... 정부 은행 압박에 하락세 이어질듯,https://n.news.naver.com/mnews/article/014/0004975682?sid=101,"5대은행 금리 연 4.13~6.54%  시중은행의 전세대출 금리가 석 달 새 1%p 가까이 떨어졌다. 준거금리인 코픽스(COFIX)가 공시 이후 최대 폭으로 떨어진 여파다. 현재 공정위가 은행권의 대출금리 담합 등을 이유로 현장 조사에 착수하는 등 정부의 은행권 압박이 거세진 만큼 앞으로 전세대출 금리 하락세는 당분간 이어질 전망이다.   ■코픽스 하락에 '전세대출 금리' 3개월 만에 1%p 하락   2월 28일 금융권에 따르면 5대 시중은행(KB국민·신한·하나·우리·NH농협은행)의 전세자금대출 금리는 연 4.13~6.54%로 집계됐다. 3개월 전인 지난해 11월 28일(연 4.96~7.37%)과 비교하면 상단과 하단 모두 0.83%p 내려간 수치다. 하나은행과 우리은행은 같은 기간 전세대출 금리(상단 기준)가 1.23%p, 1.11%p 하락하며 모두 1%p 넘게 떨어지기도 했다.   최근 시중은행들은 앞다퉈 전세대출 금리를 손보고 있다. KB국민은행은 이날부터 KB전세금안심대출 등 전세자금대출 3종의 금리를 최대 0.55%p 내렸다. 우리은행도 지난달부터 신규 코픽스에 비해 금리가 낮은 신잔액코픽스를 기준으로 한 전세대출을 취급했다. 농협은행은 1월 28일 변동금리 전세대출 우대금리를 0.30%p 올리고 2월 3일에는 청년 대상의 전세대출 우대금리를 0.2%p 확대했다.   이는 변동형 주담대 금리 산정의 기준이 되는 신규 취급액 코픽스가 3개월 만에 3%대로 하락했기 때문이다. 전세대출은 90% 이상이 변동금리로 코픽스 추이에 따라 금리가 좌우된다. 코픽스는 은행 8곳이 예·적금, 은행채 등을 통해 조달한 자금의 가중평균금리를 뜻한다.   코픽스 금리는 11월 취급분이 연 4.34%까지 급증한 후 12월 4.29%, 1월 3.82%로 두 달 연속 하락했다. 특히 1월 신규 취급액 기준 코픽스 하락분은 0.47%p로 코픽스 공시가 시작된 지난 2019년 7월 이후 3년7개월 만에 최대 낙폭을 나타냈다.   한 시중은행 관계자는 ""최근 은행들이 전세대출 금리를 내리는 이유는 빠른 속도로 떨어진 코픽스 금리에 있다""면서 ""코픽스의 80%를 구성하는 예·적금의 금리가 최근 연 3%대까지 떨어지며 코픽스 금리도 덩달아 하락한 것""이라고 설명했다.   ■당국 압박과 기준금리 동결에 ""대출금리 더 떨어질 것""   업계에서는 은행에 대한 정부의 전방위적 압박이 점점 거세져 앞으로도 전세대출 금리 하락세가 이어질 전망이 나온다.   윤석열 대통령과 이복현 금감원장이 각각 '돈잔치' '약탈적' 발언을 통해 은행을 비판한 이후 은행의 사회적 책임에 대한 비판이 커지고 있기 때문이다. 이에 더해 공정위 카르텔조사국은 2월 27일 5대 시중은행 및 기업은행 본점에 현장조사에 착수했다. 현재 공정위는 은행들의 대출금리 담합 여부 등을 중점으로 고강도 조사를 벌이고 있는 것으로 알려졌다.   2월 23일 한국은행 금융통화위원회가 기준금리를 3.50%로 동결하면서 조달비용 급증 가능성이 작아진 것도 이유 중 하나다. 김주현 금융위원장은 공식 인터뷰를 통해 ""기준금리 동결로 대출금리의 원가가 되는 코픽스 금리라든지 자금조달 금리가 안정되기 때문에 은행이 가산금리를 조금 낮출 경우 대출금리가 오르지 않고 내려갈 여지가 조금 더 생길 수 있다""고 설명했다."
2023.02.28.,[금융 단신] NH농협은행·우리은행·하나금융그룹 外,url없음,<네이버 기사 없음>
