기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.07.13.,현대자동차 '아이오닉 5 N',https://n.news.naver.com/mnews/article/001/0014065558?sid=101,(서울=연합뉴스) 강민지 기자 = 서울 용산구 N서울타워 K팝타워 라운지에서 현대자동차 고성능 전기차 '아이오닉 5 N' 실차 전시 미디어 행사가 열리고 있다. 2023.7.13    mjkang@yna.co.kr
2023.07.13.,"현대자동차, '아이오닉5 N' 공개",https://n.news.naver.com/mnews/article/003/0011972811?sid=101,"[서울=뉴시스] 정병혁 기자 = 12일 서울 중구 N서울타워 K팝타워에 현대자동차 고성능 전기차 '아이오닉5 N' 이 전시되어 있다. '아이오닉5 N'는 현대자동차 고성능 브랜드 N으로 첫 출시되는 전기차이며, 양산차 성능은 650마력으로 책정됐다. 정지상태에서 시속 100㎞까지 가속하는 데 걸리는 시간은 3.5초인 EV6 GT보다 다소 빠를 것으로 보인다. 2023.07.13. jhope@newsis.com[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다."
2023.07.13.,"현대자동차, 울산공장서 30대 근로자 사망…""사고 경위 조사 중""",https://n.news.naver.com/mnews/article/119/0002730463?sid=101,"현대자동차 울산공장.ⓒ현대자동차[데일리안 = 이나영 기자] 울산 북구 현대자동차 울산공장에서 기계에 끼여 근로자 1명이 사망하는 사고가 발생했다.13일 울산소방본부에 따르면 이날 오후 4시9분께 울산 북구 현대자동차 울산공장에서 30대 근로자 A씨가 기계에 끼는 사고를 당했다.A씨는 엔진공장 열처리 장비 안전 조치 중에 사고를 당한 것으로 알려졌다.현대차는 ""유명을 달리하신 고인의 명복을 빌고 유가족분들께도 깊은 위로의 말씀을 드린다""며 ""정확한 사고 경위에 대해서는 현재 면밀히 조사 중에 있으며 후속 대책 마련에 최선을 다하겠다""고 말했다."
2023.07.13.,"[포토]현대자동차, '아이오닉5N' 뒤태",https://n.news.naver.com/mnews/article/018/0005529765?sid=103,[이데일리 방인권 기자] 현대자동차가 12일 서울 N서울타워 K팝타워 라운지에서 N브랜드 최초의 고성능 전기차 '아이오닉5N'을 공개하고 있다.현대자동차의 핵심 전동화 전략 '현대 모터 웨이'의 실행을 알리는 아이오닉5N은 최고출력 478kw(650마력)의 전·후륜 모터를 장착했으며 84.0 KWH의 고출력 배터리를 탑재해 제로백 3.4초의 폭발적인 가속 성능을 발휘한다. 또한 내연기관 N과 같은 변속 충격과 저단 변속 진동이 구현되며 팝콘 사운드와 같은 고성능 내연기관 특유의 배기 및 엔진 사운드도 연출된다.
2023.07.13.,"현대자동차, 2023년 지속가능성 보고서 발간",https://n.news.naver.com/mnews/article/109/0004887976?sid=103,"[OSEN=강희수 기자] 현대자동차가 지난 한 해 동안의 다양한 지속가능경영 성과와 ESG 관련 정보를 담은 ‘2023년 지속가능성 보고서’를 발간했다. 이번 보고서에는 로보틱스, AAM 등 미래 모빌리티 비전을 담은 매거진 섹션도 구성해 다양한 정보를 제공한다. 현대차는 전반적인 재무 및 비재무 정보에 관하여, 투자자와 소비자 등 국내외 여러 이해관계자와의 소통을 위해 2003년 이후 매년 지속가능성 보고서를 발간하고 있다.장재훈 현대차 사장은 보고서 인사말에서 “지속가능한 성장을 이루기 위해 장기적인 시각으로 기업의 근본적인 체질을 바꾸어 나갈 것이며, 특히 점차 상승하는 외부의 기대 수준에 부응하기 위해 ESG 경영 내재화에 더욱 힘쓸 것”이라고 밝혔다.현대차는 기업 생존과 지속가능성의 키워드로 떠오른 ESG경영을 강조하고, 이용자의 가독성을 높이기 위해 보고서 본문을 크게 ‘환경(Environment), 사회(Social), 지배구조(Governance)’로 나누어 구성했다.환경 파트에서는 2045 탄소중립 달성과 전동화 전환을 위한 구체적인 중장기 전략과 TCFD(Task Force on Climate-Related Financial Disclosures, 기후변화 재무정보 공개 테스크포스) 프레임워크에 따른 기후변화 리스크 관리 정보를 다루고 있다.사회 파트에서는 최근 화두가 되고 있는 인권 리스크에 대한 실사와 개선 의지를 다루는 인권경영, 공급망 ESG 관리를 위한 노력에서부터 자동차산업에서 특히 중요한 제품의 품질, 안전성을 높이기 위한 활동들을 다루고 있다.지배구조 파트에서는 이사회의 구성과 운영 등 투명하고 건전한 지배구조 구축을 위한 노력과 함께, 윤리·준법경영과 관련한 제도와 관리 활동 등을 상세히 수록하고 있다.또한, 이번 보고서에는 CSRD(Corporate Sustainability Reporting Directive, 유럽 지속가능성 공시 지침) 등 점차 가시화되고 있는 ESG 정보공시 규제와 관련한 이중 중대성 평가 결과와 ESRS(European Sustainability Reporting Standards, 유럽 지속가능성 보고 공시 표준) 가이드라인을 추가적으로 수록했다.아울러 로보틱스, AAM 등 현대차의 여러 신사업과 미래 모빌리티 비전 관련 내용을 별도의 매거진 섹션으로 구성해 가독성과 정보 접근성을 높였으며, 브랜드 아이덴티티를 표현한 진취적이고 세련된 디자인을 적용해 독자의 호기심을 높였다.현대자동차 2023 지속가능성 보고서는 현대차 홈페이지내 지속가능경영 메뉴에서 누구나 열람할 수 있다. /100c@osen.co.kr"
2023.07.13.,"현대자동차, 고성능 전기차 '아이오닉 5 N' 공개",https://n.news.naver.com/mnews/article/421/0006927237?sid=103,"(서울=뉴스1) 김진환 기자 = 현대차가 13일(현지시간) 영국 웨스트서식스주서 열린 ‘2023 굿우드 페스티벌 오브 스피드(이하 굿우드)’에서 아이오닉5 N을 공개했다. 아이오닉 5 N은 과거 유산 계승을 통해 유연한 전동화를 적극 추진하는 현대차의 핵심 전동화 전략 ‘현대 모터 웨이(Hyundai Motor Way)’의 실행을 알리는 상징적인 모델로, 현대차의 첨단 전동화 기술을 집약해 주행 성능을 극한으로 끌어올린 N 브랜드 최초의 고성능 전기차다. (현대자동차 제공)  2023.7.13/뉴스1"
2023.07.13.,"현대자동차, 2023년 지속가능성 보고서 발간",https://n.news.naver.com/mnews/article/030/0003117023?sid=103,"현대자동차는 지난 한 해 동안의 다양한 지속가능경영 성과와 ESG 관련 정보를 담은 '2023년 지속가능성 보고서'를 발간했다고 13일 밝혔다.현대차는 전반적인 재무와 비재무 정보에 관하여, 투자자와 고객을 비롯한 여러 이해관계자와의 소통을 위해 2003년 이후 매년 지속가능성 보고서를 내고 있다.장재훈 현대차 사장은 보고서 인사말에서 “지속가능한 성장을 이루기 위해 장기적인 시각으로 기업의 근본적인 체질을 바꾸어 나갈 것”이라며 “외부의 기대 수준에 부응하기 위해 ESG 경영 내재화에 더 힘쓰겠다”고 밝혔다.현대차는 기업 생존과 지속가능성의 키워드로 떠오른 ESG경영을 강조하고, 이용자의 가독성을 제고하기 위해 보고서 본문을 크게 △환경 △사회 △지배구조로 나누어 구성했다.현대자동차, 2023년 지속가능성 보고서 발간. 현대자동차 제공환경 분야에서는 2045년 탄소중립 달성과 전동화 전환을 위한 구체적인 중장기 전략과 기후변화 재무정보 공개 테스크포스(TCFD) 플레임워크에 따른 기후변화 리스크 관리 정보를 다루고 있다.사회 분야에서는 최근 화두가 되고 있는 인권 리스크에 대한 실사와 개선 의지를 다루는 인권경영, 공급망 ESG 관리를 위한 노력, 제품의 품질과 안전성을 높이기 위한 활동들을 다루고 있다.지배구조 분야에서는 이사회의 구성과 운영 등 투명하고 건전한 지배구조 구축을 위한 노력과 윤리·준법경영과 관련한 제도와 관리 활동을 담았다.이번 보고서에는 유럽 지속가능성 공시 지침(CSRD) 등 ESG 정보공시 규제와 관련된 이중 중대성 평가 결과와 유럽 지속가능성 보고 공시 표준(ESRS) 가이드라인도 넣었다.로보탁스, AAM 등 현대차의 여러 신사업과 미래 모빌리티 비전 관련 내용은 별도의 매거진 섹션으로 구성했다.현대차 관계자는 “기업의 ESG 정보공시가 점차 중요해져 이해관계자와 진정성 있는 소통을 위해 내실 있는 지속가능성보고서 발간에 중점을 뒀다”며 “앞으로도 관련 규제를 지속적으로 모니터링하며 대응 역량을 향상시키겠다”고 말했다."
2023.07.13.,"현대자동차, 2023년 지속가능성 보고서 발간",url없음,<네이버 기사 없음>
2023.07.14.,"현대자동차, '아이오닉 5 N' 세계 최초 공개",url없음,<네이버 기사 없음>
2023.07.15.,"현대자동차, 아이오닉 5 N 전세계 최초 공개 눈길",url없음,<네이버 기사 없음>
