기사날짜,기사제목,네이버 뉴스 url,기사내용
2022.05.30.,"기보·우리은행, 중소기업 우대보증 지원…1200억 규모",https://n.news.naver.com/mnews/article/003/0011217219?sid=101,"기사내용 요약공급망 애로 중소기업 집중 금융지원 확대 우리은행 플랫폼 이용시 보증비율 등 우대기보, 중기에 1200억 규모 우대보증 지원 [서울=뉴시스] 업무협약 체결 후 기념촬영을 하고 있는 김종호 기술보증기금 이사장(왼쪽)과 이원덕 우리은행장. (사진=기술보증기금 제공) 2022.05.30. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]권안나 기자 = 기술보증기금(기보)이 원자재 가격상승, 글로벌 공급망 혼란으로 어려움을 겪고 있는 중소기업 지원을 위해 우리은행과 손잡는다. 우리은행은 지난 27일 우리은행 본점에서 '대·중·소 동반성장 지원을 위한 공급망금융 활성화 업무협약'을 체결했다고 30일 밝혔다.이번 협약은 우리은행이 공급망금융 플랫폼 '원비즈플라자' 서비스를 신규 출시함에 따라 양사가 원자재 수급 애로기업 등 공급망 관련 어려움을 겪고 있는 중소기업에 대한 금융지원을 확대하기 위해 마련했다.협약을 통해 기보는 우리은행의 특별출연금 10억원과 보증료지원금 10억원을 재원으로 우리은행 공급망금융 플랫폼을 이용하는 기업에게 ▲보증비율 상향(85%→100%) ▲보증료 감면(0.2%포인트, 3년) ▲보증료 지원(0.5%포인트, 2년) 등의 우대혜택이 포함된 총 1200억원 규모의 우대보증을 지원할 계획이다.김종호 기보 이사장은 ""고통받고 있는 중소기업의 경영애로를 해소하고 나아가 금융비용 경감을 통한 관련기업의 혁신성장이 더욱 촉진되길 기원한다""며 ""기보는 앞으로도 다양한 기관과의 협업을 통해 기술중소기업의 현안 해결에 적극 앞장서고, 혁신기업에 대한 지원이 더욱 확대되도록 노력하겠다""고 말했다.기보는 같은날 서울 강남구 팁스타운에서 기보벤처캠프 참여기업 50개사 대표와 민간 액셀러레이터, 벤처캐피탈 등 투자관계자가 함께 참석하는 '제10기 기보벤처캠프 네트워킹데이'를 열었다. 기보는 2017년 기보벤처캠프 도입 후 9기까지 총 434개 기업을 발굴해 610억원의 기술평가보증과 21건의 기술이전을 완료하는 등 금융·비금융의 투트랙 종합지원을 해왔다．"
2022.05.31.,"[취재후 Talk] 채만식의 소설 '탁류', 우리은행 직원의 '614억 횡령'",https://n.news.naver.com/mnews/article/448/0000361719?sid=102,"""뻐게졌네 뻐게졌어""삼십 원대가 무너졌다는 말이다.""…팔 전인데 끊어버리세?""""글쎄…""""글쎄구 무엇이구 이대루 십 정만 더 떨어지면 아시야 아시. 알어들어? 왜 정신을 못 채리구 이래?""""그렇지만 인제 와서야 머…""- 채만식 『탁류』 中 -고태수는 XX은행 군산지점의 행원이다. 원래는 서울에서 홀어머니와 함께 궁색하게 살다가 보통학교를 졸업한 뒤 XX은행 서울 본점 급사로 들어갔다. 이후 야학으로 을종 상업학교를 졸업하고 상사 눈에 들어 행원으로 승진한다. 그리고 군산지점으로 오게 됐다.태수는 서울에선 손꼽히는 모범 행원이었으나 군산으로 오자 기를 탁 펴더니 유흥에 빠져 살았다. 월급보다 많은 돈을 흥청망청 쓰느라 빚이 목까지 차올랐다. 그래서 태수는 은행 고객 중 백석이라는 고리대금업자 명의로 소절수(일종의 어음)를 위조하자 마음먹었다. 백석의 도장을 복사하고 필체를 모사했다.위조한 소절수로 은행 현금계에서 돈을 만들었다. 그 뒤 공범 형보가 돈세탁을 하고, 그 돈이 태수에게 돌아왔다. 소절수 몇 번 만든다고 해서 표는 나지 않았다. 그렇게 백석의 계좌에서 야금야금 1800원을 빼내 썼다. 그런데 갑자기 백석이 다른 은행으로 거래를 옮긴다는 소문이 돌았다. 백석이 예금을 모조리 찾는 순간 돈이 빈다는 사실을 알아챌 것이다. 그때가 태수의 명이 다 하는 날이다.그래서 태수는 미두를 하기로 했다. 미두란 쌀 시세를 이용해 현물 없이 투기적 약속으로만 사고파는 행위다. 미두로 돈 천원 정도 만든 다음 백석의 바짓가랑이를 붙잡고 사정해볼 요량이었다. 하지만 태수는 판판이 돈을 잃었다. 소설의 시대적 배경은 일제강점기다.■ 고태수와 우리은행 직원은 닮은꼴?우리은행 기업개선부 차장급 직원 A씨는 2012년 10월부터 2018년 6월까지 세 차례에 걸쳐 회삿돈 약 614억원을 빼돌린 혐의로 지난 24일 구속 기소됐다. 서울중앙지검은 A씨가 횡령한 돈으로 주가지수옵션거래 등에 쓴 것으로 보고 있다.  A씨가 빼돌린 돈은 옛 대우일렉트로닉스 매각과 관련해 이란 다야니 가문이 낸 계약금이었는데, 당시 계약이 깨지면서 몰수한 돈을 우리은행이 보관하고 있었다. 그런데 이란 다야니 가문이 우리 정부를 상대로 국제투자자소송(ISD)을 제기했고, 2019년 말 최종 승소했다. 우리 정부는 약 730억원을 배상하게 됐다.A씨는 은행에서 대우일렉 매각 관련 업무를 담당했고 ISD 대응 태스크포스(TF)에도 참여한 것으로 파악됐다. A씨는 모 위원회와 모 공사 명의 문서를 위조해 수백억원짜리 수표를 인출하는 수법으로 돈을 빼돌린 것으로 조사됐다.당시 횡령이 발각되지 않은 이유는 국제사회의 대이란 제재 탓에 계약금을 즉각 줄 수 없는 상황이었기 때문이다. 우리은행은 지난 1월 미국 재무부 산하 해외자산통제국(OFAC)의 특별허가에 따라 계약금 송금이 가능해진 뒤에야 돈이 사라진 사실을 인지하고 내부감사를 진행한 것으로 추정된다.■ 횡령 왜 반복되나…전문가 ""한탕주의가 문제""A씨는 빼돌린 수백억원을 종잣돈 삼아 큰돈을 벌었을까? 그는 횡령한 돈을 불리기 위해 전업투자자에게 무려 16억원을 주고 정보를 받은 것으로 알려졌다. 하지만 A씨는 투자한 금액의 대부분을 잃었다고 경찰에 진술했다. 현재까지 수사기관이 추징보전 청구한 A씨와 B씨, 그 가족들의 재산은 65억원에 불과하다. 친동생 B씨와 공모해 해외 페이퍼컴퍼니로 빼돌린 50억원을 더한다 해도 80%가 넘는 돈이 빈다.금융기관 횡령은 심심치 않게 일어나지만 횡령액 회수는 쉽지 않다. 29일 금융당국에 따르면 2017년부터 2022년 5월까지 5년간 금융권에서 횡령을 한 임직원은 174명, 횡령 규모는 1091억8260만원에 달했다. 이 가운데 환수한 횡령액은 127억1160만원으로 11.6%에 그쳤다.횡령은 왜 반복될까. 금융감독원은 대출 서류 위조, 계약자 정보의 무단 도용 및 변경, 외부 수탁업체에 대한 관리 소홀로 발생하는 것으로 분석했다. 내부통제가 안 되고 있다는 뜻이다.그간 불붙었던 자산시장도 '횡투(횡령 투자)'를 부추기는 요인 중 하나로 꼽힌다. 주변에서 듣지도 보지도 못한 알트코인으로 '억' 소리 나게 벌었다든지, 대출 '영끌'해서 아파트를 샀더니 값이 두배로 올랐다든지 하는 소문이 가득했다. 증시는 끊임없이 우상향 하는 것 같았고, 예·적금하는 사람은 바보 취급당하는 분위기였다.이런 상황에서 큰돈을 굴릴수록 많은 이익을 볼 수 있다는 단순한 생각과, 돈을 벌어서 돌려놓으면 그만이라는 도덕 불감증이 횡투로 이어졌다는 지적이다. 오정근 한국금융ICT융합학회장은 ""주식이나 가상화폐 등 각종 투자는 굉장한 분석이 필요한 분야""라면서 ""기초적인 분석도 없이 한탕하려는 인식에서 큰 사고들이 터지는 것 같다""고 꼬집었다.""이쯤에서 손절하라""는 공범의 조언을 받아들였다면 고태수는 횡투에 성공할 수 있었을까. 소설에 묘사된 일제강점기 때 은행과 현재 금융권의 모습이 크게 다르지 않아 보인다."
2022.05.31.,"여자농구 우리은행, BNK에 신인 우선지명권 주고 노현지 영입",https://sports.news.naver.com/news.nhn?oid=001&aid=0013217925,<구조 다름>
2022.05.30.,"우리은행, 기술보증기금과‘공급망금융 활성화 업무협약’",https://n.news.naver.com/mnews/article/018/0005229152?sid=101,"7월 출시 ‘원비즈플라자’ 연계해 보증서대출 지원[이데일리 김정현 기자] 우리은행이 기술보증기금과 ‘공급망금융 활성화 포괄적 업무협약’을 체결했다.우리은행은 지난 27일 우리은행 본점에서 이원덕 우리은행장, 김종호 기술보증기금 이사장과 양 기관 관계자들이 참석한 가운데 업무협약 체결식을 진행했다고 30일 밝혔다. 우리은행이 지난 27일 서울 중구 우리은행 본점에서 기술보증기금과 ‘공급망금융 활성화 업무협약’을 체결했다. 이원덕 우리은행장(오른쪽)이 김종호 기술보증기금 이사장과 기념촬영을 하고 있다. (사진=우리은행 제공)양 기관은 최근 원자재 가격 상승 등으로 인한 공급망 불안정을 해소하고 중소기업의 경쟁력 강화를 지원해 대기업과 동반 성장할 수 있도록 상호 협력하기로 했다. 이번 포괄적 업무협약의 일환으로 우리은행은 7월에 금융권 최초로 출시하는 공급망 플랫폼‘원(WON)비즈플라자’에 기술보증기금이 지원하는 보증서대출을 추진한다. 우리은행은 기술보증기금과 개별협약을 체결해 기술력이 우수한 중소기업(개인사업자 포함) 중 공급망 플랫폼을 이용 중인 기업을 대상으로, 기술보증기금 보증서 발급 시 보증료를 최대 1.0%포인트(연간 0.5%포인트, 최대 2년간) 지원할 예정이다. 우리은행 관계자는“이번 업무협약으로 중소기업에 공급망 플랫폼을 제공하는 동시에 운영자금 조달까지 공급망 안정과 국내 중소·중견기업의 산업경쟁력 강화에 기여할 수 있을 것”이라고 밝혔다."
2022.05.31.,연 3% 넘는 정기예금 어느 은행에서 파나,https://n.news.naver.com/mnews/article/092/0002258392?sid=105,"KB국민·신한·우리·부산·케이뱅크 등 수신금리 인상…가입 한도 및 채널 우대 잘 살펴봐야한국은행이 기준금리를 인상(연 1.50%→연 1.75%)하면서 주요 국내은행들도 수신(예·적금) 금리를 최대 연 0.7%p 올렸다. 연 3% 금리 예금도 하나 둘 나오면서, 유동성이 은행의 수신 상품으로 흘러들어갈 지 귀추가 주목된다.31일 은행업계에 따르면 1년 만기 정기예금 상품 금리는 2% 초후반으로 책정되어있다. 하지만 가입 채널이나 첫 고객을 대상으로 연 3% 금리를 주는 상품도 있어, 가입 조건과 한도, 채널을 따져 가입하면 좋을 것으로 보인다.1년 만기(12개월 이상) 정기예금의 경우 연 3%대 금리를 주는 은행은 우리은행과 DGB대구은행, 케이뱅크다.(사진=이미지투데이)우리은행의 '우리 첫 거래 우대 예금'은 기본 금리가 연 2.1% 이지만 최고 우대 금리를 연 1.0%p 제공한다. 우대 금리를 모두 받으면 최고 연 3.1%를 받을 수 있는 상품인 것이다. 우대 금리 항목은 ▲직전년도 말일 기준 우리은행 계좌가 없는 고객(1.0%p) ▲직전 1년간 우리은행 적금 예금 가입 이력 없는 고객(0.4%p) ▲오픈뱅킹 서비스를 통해 본인 계좌로부터 출금 이체한 신규 가입(0.4%p) 이다. 상품서비스와 마케팅을 위한 휴대전화 및 SMS 알림 제공에 동의해야 한다. 가입 한도는 100만원 이상 1천만원 이하다.DGB대구은행도 첫 거래 고객을 위한 'DGB주거래우대예금(첫 만남 고객형)' 상품을 판매 중이며, 최고 금리는 연 3.06%다. 기본금리는 연 2.41%, 우대 금리는 0.6%p이다. 인터넷과 스마트뱅킹을 통해 가입할 경우 0.05%p의 금리를 추가로 준다. 우대 금리 항목은 ▲목돈 굴리기 예금 최초 가입시(0.2%p) ▲최근 1개월 이내 신용(체크)카드 신규 발급(0.2%p) ▲최근 1개월 이내 인터넷·폰·스마트뱅킹 가입(0.2%p) 등이 있다. 가입 한도는 최저 100만원이며 최고 한도는 없다.케이뱅크는 6월 1일부터 금리 인상이 적용된다. 코드K정기예금의 1년 이상 2년 미만의 금리는 연 3.0%이며 가입 한도는 1만원 이상이며 최고 한도는 없다.연 3%대는 아니지만 2% 후반대의 금리를 주는 곳은 BNK부산은행과 IBK기업은행이다. BNK부산은행의 '저탄소실천예금'의 1년 만기 최고 금리는 연 2.9%이며 IBK기업은행의 'IBK D-Day통장'의 최고 금리는 연 2.7%다."
2022.05.31.,"기보-우리은행, 중기 공급망금융 지원 MOU 체결",url없음,<네이버 기사 없음>
2022.05.31.,예금 3%·적금 5% 시대…은행에 돈 몰린다,url없음,<네이버 기사 없음>
2022.05.30.,"기보-우리은행, 중소기업 공급망금융 지원 업무협약",url없음,<네이버 기사 없음>
2022.05.31.,우리은행-기술보증기금 '공급망금융 활성화 MOU' 체결,url없음,<네이버 기사 없음>
2022.05.30.,"우리은행, 기보와 공급망금융 활성화 업무협약",url없음,<네이버 기사 없음>
