기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.04.30.,네이버페이·토스 등 핀테크 ‘후불결제’ 연체율 급등,https://n.news.naver.com/mnews/article/028/0002637901?sid=101,"선 구매 후 결제(Buy Now, Pay Later) 가능한 혁신금융서비스연체율 네이버파이낸셜 2.7%, 토스5%까지 급등BNPL 활성화한 미국서도 연체율 급등 골머리사진은 게티이미지뱅크.네이버페이·토스 등 핀테크 업체들이 1∼2년 전 출시한 후불결제(BNPL) 서비스 연체율이 최근 급등하고 있다. 혁신금융서비스로 지정받아 시범사업을 벌이는 단계인 만큼 향후 정식 인가를 얻으려면 연체율 관리 방안이 필요할 것으로 보인다. 30일 최승재 국민의힘 의원이 금융감독원에서 받은 자료를 보면, 지난 3월 말 기준 국내에서 후불결제 서비스를 제공 중인 네이버파이낸셜, 카카오페이, 비바리퍼블리카(토스) 3사의 연체율이 모두 지난해 말 대비 급상승한 것으로 나타났다. 71만명이 이용하는 네이버파이낸셜의 경우 3월 말 기준 연체율이 2.7%로 1년 전인 지난해 3월 말(1.26%)과 지난해 말(2.14%) 대비 모두 크게 상승했다. 지난해 3월부터 서비스를 시작한 토스의 연체율은 5%로 지난해 말(3.48%) 대비 1.52%포인트 급등했다. 토스 후불결제는 192만명이 이용 중이다. 지난해 1월 서비스를 내놓은 카카오페이 연체율도 0.51%로 지난해 말(0.09%) 대비 5배 이상 뛰었다. 3사의 누적 가입자수는 3월 말 기준 266만3557명이며, 이용 금액(총 채권)은 약 445억3600만원, 연체 채권은 19억3790만원이다. 네이버파이낸셜 후불결제 서비스. 화면 갈무리후불결제는 신용거래 내역이 적어 신용카드 발급이 어려운 대학생 등 신파일러도 간편결제 업체를 통해 먼저 물건을 산 뒤 다음 달 지정한 결제일에 대금을 치를 수 있게 해주는 일종의 단기 대출 서비스다. 네이버페이와 토스는 월 최대 30만원까지 온·오프라인 가맹점에서 모두 이용 가능하다. 카카오페이는 15만원까지 교통요금을 후불 결제할 수 있다. 국내의 경우 아직 시범 사업 단계여서 결제 대금을 연체해도 신용 등급에는 영향을 주지 않지만, 후불결제 서비스 이용이 중단될 수 있다. 향후 후불결제 서비스가 혁신금융서비스를 넘어 정식 승인을 얻으려면, 연체율 관리 방안을 마련해야 할 것으로 보인다. 후불결제가 활성화된 미국도 연체율 급등으로 골머리를 앓고 있다. 세계 3대 신용평가사 중 한 곳인 피치는 지난해 7월 미국의 주요 후불결제 사업자 연체율이 수개월 동안 2배 이상 급등했다고 경고했다. 미국 소비자금융보호국(CFPB)은 지난 3월 내놓은 후불결제 사용 행태에 대한 보고서에서, 후불결제 이용자가 비이용자보다 채무가 많고, 이미 다른 금융기관에서 연체 이력이 있으며 신용등급이 더 낮은 경우가 많았다고 밝혔다."
2023.04.30.,“이자 한푼이라도 더”… 시중은행까지 참전한 ‘지금 이자 받기’,https://n.news.naver.com/mnews/article/366/0000897920?sid=101,"인뱅 대표 서비스 ‘지금 이자 받기’, 수협도 도입 “액수는 작지만, 확실하게 돈 버는 느낌”에 인기시중은행도 초단기 적금 등 상품 잇달아 출시Sh수협은행 제공        카카오뱅크·케이뱅크·토스뱅크 등 인터넷전문은행 3사에 이어 Sh수협은행도 소비자가 원하는 날에 이자를 지급하는 ‘지금 이자 받기’ 서비스를 내놓았다. 금리 변동기 속 혼란에 빠진 금융소비자들이 이자·만기 등을 꼼꼼히 따져 조금이라도 더 이익이 되는 금융상품을 선택하는 수요에 대응한 것이다. 시중은행도 이런 금융 트렌드에 부합한 서비스를 도입할 것으로 보인다.30일 금융권에 따르면 Sh수협은행은 최근 출시한 최고 금리 연 3.0%의 파킹통장 ‘Sh매일받는통장’ 가입자를 대상으로 ‘지금 이자 받기’ 서비스를 제공하기로 했다. 지금 이자 받기 서비스는 파킹통장 가입자가 직접 파트너뱅크·헤이뱅크 등 모바일뱅킹 애플리케이션(앱)을 통해 ‘이자 받기’를 신청하면 전날까지의 이자를 즉시 받을 수 있는 서비스다.’지금 이자 받기’는 인터넷은행 토스뱅크가 지난해 3월 국내 금융사 최초로 선보인 서비스다. 고객은 매일 한 번씩, 자신이 원할 때 즉시 이자를 받을 수 있고 매일 남은 잔액을 기준으로 이자가 쌓이는 일 복리 구조가 적용됐다. 출시 1년간 이용 횟수는 1억5000만회를 넘어섰고, 토스뱅크 고객 중 298만명이 총 약 2670억원의 이자를 받았다.토스뱅크 제공        이 서비스가 인기를 끌자 케이뱅크도 지난 1월 파킹통장인 플러스박스에 즉시 이자를 받을 수 있는 서비스를 도입했다. 이전까진 매월 한 달에 한 번 넷째 주 토요일에 이자가 지급됐지만, 누적된 이자 금액이 1원 이상일 경우 고객은 원할 때 매일 1회 이자를 수령할 수 있게 된 것이다. 매일 남은 잔액 기준으로 이자가 붙기에 역시 일 복리 효과를 받을 수 있다.여기에 인터넷은행 중 가장 덩치가 큰 카카오뱅크까지 다음 달부터 ‘지금 이자 받기’ 서비스를 시작하기로 했다. 카카오뱅크는 최근 세이프박스 특약 개정을 통해 이자 지급 시기에 ‘고객이 요청한 날’을 추가하기로 했다. 최초 예금일 또는 직전 이자 지급일부터 다음 이자 지급일 전날까지의 기간을 이자로 계산해 지급하는 방식이다. 토스뱅크에서 시작했지만, 인터넷은행을 대표하는 서비스로 자리 잡게 된 셈이다.인터넷은행부터 수협은행까지 ‘지금 이자 받기’ 서비스를 제공하는 상품은 모두 수시입출금 통장(파킹 통장)이다. 인터넷은행은 고객을 유치하기 위해 고금리 파킹 통장을 내세운 전략을 펴왔다. 실제로 연 0.1%대 이자를 주는 시중은행과 비교했을 때 인터넷은행은 ▲케이뱅크 연 2.7% ▲카카오뱅크 2.4% ▲토스뱅크 2.0% 등 금리가 높다.일러스트=손민균        은행권 관계자는 “파킹 통장 금리 역시 다른 고금리 적금에 비하면 높진 않지만, 매일 이자를 받을 수 있다는 점을 내세운 점이 체감도가 높아 금융소비자들에게 인기를 끌었다”면서 “일각에선 시중은행 입장에선 요구불예금을 늘릴 필요성이 적다는 말도 있지만, 이자를 한 푼이라도 더 받으려는 최근 소비자의 트렌드를 무시할 순 없을 것”이라고 말했다.실제로 시중은행은 이 수요를 맞추기 위해 여러 상품을 출시하고 있다. 대표적으로 만기를 최소 1개월부터 설정할 수 있는 이른바 한 달짜리 적금이 있다. KB국민은행의 ‘KB 특별한 적금’은 고객이 특별한 날을 만기일로 지정할 수 있는 상품으로 최소 6개월 이상이었던 적금 만기를 1개월로 단축했다. 최고 금리는 연 6.0%로 지난 5일부터 11일까지 KB 특별한 적금 사전 예약을 실시했는데, 이 기간에 5만3000여명이 몰렸다.IBK기업은행도 ‘IBK 디데이 적금’을 리뉴얼해 최소 가입 기간을 기존 6개월에서 1개월로 단축했다. 50일 휴가, 우리 아이 100일 축하, 커플 100일 기념 등 고객이 적금 가입 목적에 맞게 만기를 자유롭게 설정할 수 있다. 하나은행의 1개월 초단기 만기 상품 ‘하나 타이밍 적금’은 고객이 설정한 금액(10~5000원)을 게임을 하듯이 타이밍 적금 전용 입금 버튼을 터치해 적립하고 터치 수에 따라 우대금리가 제공된다."
2023.04.27.,"[尹국빈방미] 토스 이승건 대표, 페이팔 댄 슐먼 회장 면담",https://n.news.naver.com/mnews/article/001/0013907716?sid=101,"비바리퍼블리카 이승건(왼쪽) 대표와 댄 슐먼 페이팔 회장[토스 제공] (서울=연합뉴스) 홍국기 기자 = 윤석열 대통령의 방미 경제 사절단에 포함된 토스 운영사 비바리퍼블리카 이승건 대표가 글로벌 전자결제기업 페이팔의 댄 슐먼 회장을 만났다.    토스는 이 대표가 25일(현지시간) 캘리포니아 새너제이에 있는 페이팔 본사에서 슐먼 회장을 면담했다고 27일 밝혔다.     두 회사의 대표가 만난 것은 이번이 처음으로, 양측은 최근 사업 현황과 글로벌 핀테크(FinTech·금융과 기술의 합성어) 동향 등을 공유했다.    이 대표는 ""세계에서 가장 큰 전자결제 기업 중 하나를 운영하는 리더로부터 경험과 지혜를 공유받을 수 있는 소중한 시간이었다""고 말했다.     양측은 페이팔벤처스가 2017년 토스에 투자한 것을 계기로 인연을 맺었다. 페이팔의 대한민국 기업 첫 투자 사례로, 페이팔은 토스의 성장 가능성을 높게 평가하며 2018년 후속 투자에도 참여했다.    슐먼 회장은 아메리칸 익스프레스 부회장, 버진모바일 미국 대표, 프라이스라인 대표 등을 거쳐 2014년 페이팔 최고경영자(CEO)에 올랐다.     그는 사용자 중심의 혁신적인 서비스와 정책을 선보이며 페이팔이 대표적인 전자결제 기업으로 성장하는 데 기여했다는 평가를 받는다.     redflag@yna.co.kr"
2023.04.27.,"토스뱅크, 안심보상제로 금융사기 피해 지원",https://n.news.naver.com/mnews/article/003/0011827057?sid=101,"[서울=뉴시스] 이정필 기자 = 토스뱅크는 금융사기 피해고객을 대상으로 운영 중인 안심보상제가 도입 1년6개월 만에 1620여 건의 피해를 도운 것으로 나타났다고 27일 밝혔다.토스뱅크에 따르면 지난 2021년 10월부터 지난달 말까지 고객들이 접수한 금융사기 피해 총 1620건을 대상으로, 12억원 상당의 피해가 회복될 수 있도록 지원했다. 고객들이 겪은 피해는 보이스피싱 41건, 중고거래 사기 등에 연루된 부정송금 1579건이었다.토스뱅크는 고객들이 입은 최초 1회의 피해에 한해 보이스피싱의 경우 최대 5000만원, 중고거래 사기 등 부정송금의 경우 최대 50만원을 지급하고 있다. 또 부정 거래를 감지해 사전에 차단하는 이상거래탐지시스템(FDS) 기술을 고도화하고 있다.토스를 운영하는 비바리퍼블리카도 2020년 7월 안심보상제를 도입해 고객 피해 구제에 나서고 있다. 지난해 말 기준 피해고객 약 2500명을 대상으로 15억8000만원 규모를 지원했다."
2023.04.27.,토스뱅크가 시작한 '지금 이자 받기'… 카카오뱅크까지 합류,https://n.news.naver.com/mnews/article/417/0000916299?sid=101,"사진=카카오뱅크 토스뱅크와 케이뱅크에 이어 카카오뱅크가 '지금 이자받기' 서비스를 다음달부터 시작한다. 예금자들은 이자를 한달에 한번씩 정해진 날짜에 받다가 다음달부턴 원할때 언제든지 이자를 받을 수 있게 된다.26일 금융권에 따르면 카카오뱅크는 최근 세이프박스 특약을 개정했다. 특약 개정에는 이자 지급 시기를 '고객이 요청한 날'로 추가한다는 내용이 담겼다. 시행일자는 오는 5월24일이다.카카오뱅크의 세이프박스는 계좌 속 금고로 자유로운 입출금을 통해 통장의 여유자금을 간편하게 분리해서 관리할 수 있는 상품이다.최대 보관 한도는 1억원으로 입출금계좌당 1좌씩 개설 가능하며 하루만 맡겨도 연 2.40% 금리를 제공한다.그동안 이자지급 방법은 매월 네번째 금요일을 기준으로 결산해 토요일에 세이프박스가 연결된 카카오뱅크 입출금통장 또는 개인사업자통장으로 이자 지급해왔다.하지만 다음달 24일부터는 매월 네번째 토요일 또는 원하는 날짜 중 이자 받는 날을 선택할 수 있다.카카오뱅크 관계자는  ""지금 이자 받기 서비스가 인기가 높고 고객 니즈가 많아 우리도 이 서비스를 도입하게 됐다""고 설명했다.'지금 이자 받기'는 토스뱅크가 지난해 3월 국내 금융사 최초로 선보인 서비스다.수시입출금 통장인 '토스뱅크통장'을 보유한 고객은 매일 한 번씩 자신이 원할 때 즉시 이자를 받을 수 있다. 매일 남은 잔액을 기준으로 이자가 쌓이는 '일 복리' 구조가 적용됨에 따라 고객들은 돈을 많이 보관할수록 또 이자를 매일 받을수록 유리하다. 토스뱅크의 '지금 이자 받기' 출시 1년만에 298만 고객이 총 2670억원의 이자를 받았으며 서비스 이용 횟수도 1억5000만회를 넘어섰다.토스뱅크를 의식한 케이뱅크도 지난 1월2일부터 파킹통장인 플러스박스에 이자를 매일 받을 수 있는 서비스를 시작했다. 이전에는 플러스박스 역시 이자지급 주기가 한달이었다.케이뱅크의 플러스박스 금리는 1년 만기 기준 연 2.7%로 한도는 최대 3억원까지다. 토스뱅크를 시작으로 케이뱅크에 이어 인터넷전문은행 중 가장 규모가 큰 카카오뱅크까지 지금 이자 받기 서비스 대열에 합류한 것이다.은행권 관계자는 ""인터넷은행에 이어 시중은행에서도 지금 이자 받기 서비스 출시를 검토 중인 것으로 알고 있다""며 ""소비자들은 은행에 돈을 맡기면 매일 이자를 바로 받을 수 있다는 재미를 느끼는 것으로 보인다""고 말했다."
2023.04.29.,[포토]볼을 토스하는 박결,https://sports.news.naver.com/news.nhn?oid=030&aid=0003095182,<구조 다름>
2023.04.28.,"[IS 인천] '통한의 토스 실패'...'6이닝 4실점' 최승용, QS에도 시즌 2패 위기",https://sports.news.naver.com/news.nhn?oid=241&aid=0003272556,<구조 다름>
2023.04.28.,토스 행운퀴즈 정답 4월 28일,url없음,<네이버 기사 없음>
2023.04.28.,"인터넷은행 막내인 ‘토스뱅크’, 자산 건전성 문제없을까?",url없음,<네이버 기사 없음>
2023.04.28.,[MD포토] 오지환 '2루 토스',https://sports.news.naver.com/news.nhn?oid=117&aid=0003724242,<구조 다름>
